Sl. No,Field Name,Field Type,Example
1,breadcrumbs,list,"Men,Designers,Visvim,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Visvim
1,breadcrumbs,list,"Men,Designers,Berluti,Shoes,Boots,Ankle boots"
2,product_name,string,Berluti
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Formal shoes,Derby"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Sneakers,Low-Top"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Loafers"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Loafers"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Sneakers,Low-Top"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Sneakers,Low-Top"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Sneakers,Low-Top"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Boots,Chelsea boots"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Balenciaga,Shoes,Sneakers,Low-Top"
2,product_name,string,Balenciaga
1,breadcrumbs,list,"Men,Designers,Bottega Veneta,Shoes,Boots,Ankle boots"
2,product_name,string,Bottega Veneta
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Boots,Chelsea boots"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Formal shoes,Derby"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Balenciaga,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Balenciaga
1,breadcrumbs,list,"Men,Designers,Bottega Veneta,Shoes,Formal shoes,Derby"
2,product_name,string,Bottega Veneta
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Sneakers,Low-Top"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Gucci,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Gucci
1,breadcrumbs,list,"Men,Designers,Alexander McQueen,Shoes,Sneakers,Low-Top"
2,product_name,string,Alexander McQueen
1,breadcrumbs,list,"Men,Designers,Berluti,Shoes,Sneakers,Low-Top"
2,product_name,string,Berluti
1,breadcrumbs,list,"Men,Designers,Balenciaga,Shoes,Boots,Ankle boots"
2,product_name,string,Balenciaga
1,breadcrumbs,list,"Men,Designers,Balenciaga,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Balenciaga
1,breadcrumbs,list,"Men,Designers,Dolce & Gabbana,Shoes,Sneakers,Low-Top"
2,product_name,string,Dolce&Gabbana
1,breadcrumbs,list,"Men,Designers,Burberry,Shoes,Sandals & slides"
2,product_name,string,Burberry
1,breadcrumbs,list,"Men,Designers,Burberry,Shoes,Loafers"
2,product_name,string,Burberry
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Loafers"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Dolce & Gabbana,Shoes,Sneakers,Low-Top"
