Sl. No,Field Name,Field Type,Example
9738,other_images,list,"['https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/22/P00939648_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/22/P00939648_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/22/P00939648_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/22/P00939648_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/22/P00939648_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/22/P00939648_d4.jpg']"
9739,breadcrumbs,list,"['Men', 'Designers', 'Gucci', 'Shoes', 'Sneakers', 'Low-Top']"
9740,product_image,string,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/88/P00939646.jpg
9741,brand_name,string,Gucci
9742,product_name,string,Screener Double G sneakers
9743,product_price,string,€ 630
9744,product_id,string,P00939646
9745,Description,string,None
9746,Sizes,list,"['UK 6 / EU 40', 'UK 7 / EU 41', 'UK 8 / EU 42', 'UK 9 / EU 43', 'UK 10 / EU 44', 'UK 11 / EU 45']"
9747,other_images,list,"['https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/88/P00939646_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/88/P00939646_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/88/P00939646_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/88/P00939646_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/88/P00939646_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/88/P00939646_d4.jpg']"
9748,breadcrumbs,list,"['Men', 'Designers', 'Gucci', 'Shoes', 'Sneakers', 'Low-Top']"
9749,product_image,string,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/d2/P00939667.jpg
9750,brand_name,string,Gucci
9751,product_name,string,Gucci Ace GG sneakers
9752,product_price,string,€ 585
9753,product_id,string,P00939667
9754,Description,string,None
9755,Sizes,list,"['UK 6 / EU 40', 'UK 7 / EU 41', 'UK 8 / EU 42', 'UK 9 / EU 43', 'UK 10 / EU 44', 'UK 11 / EU 45', 'UK 12 / EU 46', 'UK 13 / EU 47']"
9756,other_images,list,"['https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/d2/P00939667_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/d2/P00939667_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/d2/P00939667_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/d2/P00939667_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/d2/P00939667_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/d2/P00939667_d4.jpg']"
9757,breadcrumbs,list,"['Men', 'Designers', 'Alexander McQueen', 'Shoes', 'Sneakers', 'Low-Top']"
9758,product_image,string,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/06/P00935586.jpg
9759,brand_name,string,Alexander McQueen
9760,product_name,string,Oversized leather sneakers
9761,product_price,string,€ 465
9762,product_id,string,P00935586
9763,Description,string,None
9764,Sizes,list,"['EU 39', 'EU 40', 'EU 40.5', 'EU 41', 'EU 41.5', 'EU 42', 'EU 42.5', 'EU 43', 'EU 43.5', 'EU 44', 'EU 44.5', 'EU 45', 'EU 46']"
9765,other_images,list,"['https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/06/P00935586_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/06/P00935586_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/06/P00935586_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/06/P00935586_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/06/P00935586_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/06/P00935586_d4.jpg']"
9766,breadcrumbs,list,"['Men', 'Designers', 'Saint Laurent', 'Shoes', 'Sandals & slides']"
9767,product_image,string,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/de/P00892122.jpg
9768,brand_name,string,Saint Laurent
9769,product_name,string,Leather thong slides
9770,product_price,string,€ 500
9771,product_id,string,P00892122
9772,Description,string,None
9773,Sizes,list,"['EU 39', 'EU 40', 'EU 41', 'EU 42', 'EU 43', 'EU 44', 'EU 45', 'EU 46']"
